Car Title,Car Price,Car Location,Car Year,Car Km,Car Fuel,Car CC,Car Transmission
Toyota Raize  2020 Z for Sale,PKR 58.99 lacs,Karachi,2020,"23,000 km",Petrol,1000 cc,Automatic
Peugeot 2008  2023 Active for Sale,PKR 53.5 lacs,Karachi,2023,"40,000 km",Petrol,1200 cc,Automatic
Suzuki Wagon R  2022 AGS for Sale,PKR 27.75 lacs,Karachi,2022,"46,000 km",Petrol,1000 cc,Automatic
Toyota Corolla 9th (E120) Generation 2004 SE Saloon Automatic for Sale,PKR 19.25 lacs,Karachi,2004,"160,000 km",Petrol,1600 cc,Automatic
Daihatsu Mira  2020 G SA III for Sale,PKR 33.75 lacs,Karachi,2020,"56,000 km",Petrol,660 cc,Automatic
Honda Vezel  2016 Hybrid Z Honda Sensing  for Sale,PKR 51 lacs,Karachi,2016,"130,000 km",Hybrid,1500 cc,Automatic
Toyota Yaris Hatchback  2021 X for Sale,PKR 42.95 lacs,Karachi,2021,"110,000 km",Petrol,1000 cc,Automatic
Daihatsu Mira  2014 X Memorial Edition for Sale,PKR 23.45 lacs,Karachi,2014,"90,000 km",Petrol,660 cc,Automatic
Toyota Fortuner  2021 2.8 Sigma 4 for Sale,PKR 1.53 crore,Karachi,2021,"40,000 km",Diesel,2800 cc,Automatic
Toyota Corolla  2012 GLi Automatic 1.6 VVTi for Sale,PKR 33.75 lacs,Karachi,2012,"83,000 km",Petrol,1600 cc,Automatic
Suzuki Swift  2018 DLX Automatic 1.3 Navigation for Sale,PKR 29.5 lacs,Karachi,2018,"20,000 km",Petrol,1300 cc,Automatic
Mitsubishi EK X  2020 Sports for Sale,PKR 36 lacs,Karachi,2020,"21,000 km",Petrol,659 cc,Automatic
Honda City 5th (GM2) Generation 2015 1.3 i-VTEC for Sale,PKR 28 lacs,Karachi,2015,"74,000 km",Petrol,1300 cc,Manual
Honda N Box  2017 Custom for Sale,PKR 25 lacs,Karachi,2017,"53,000 km",Petrol,658 cc,Automatic
Toyota Raize  2021 Z for Sale,PKR 64.5 lacs,Karachi,2021,"20,000 km",Petrol,1000 cc,Automatic
Toyota Platz  2002 F 1.0 for Sale,PKR 16 lacs,Karachi,2002,100 km,Petrol,1000 cc,Automatic
Honda City  2000 EXi S for Sale,PKR 9.25 lacs,Karachi,2000,"145,000 km",Petrol,1500 cc,Manual
Toyota Yaris Sedan  2021 GLI CVT 1.3 for Sale,PKR 38.5 lacs,Karachi,2021,"56,000 km",Petrol,1300 cc,Automatic
Daihatsu Cuore  2007 CX Eco for Sale,PKR 11 lacs,Karachi,2007,"154,459 km",Petrol,800 cc,Manual
Toyota Corolla  1986 GL Saloon for Sale,PKR 9.5 lacs,Karachi,1986,12 km,Petrol,1500 cc,Manual
Nissan Wingroad  2006 15M for Sale,PKR 35 lacs,Karachi,2006,"125,000 km",Petrol,1500 cc,Automatic
Nissan Dayz  2014 Highway Star G for Sale,PKR 23.5 lacs,Karachi,2014,"93,700 km",Petrol,660 cc,Automatic
Changan Alsvin  2022 1.5L DCT Lumiere for Sale,PKR 36 lacs,Karachi,2022,"45,000 km",Petrol,1500 cc,Automatic
Toyota Land Cruiser  1990  for Sale,PKR 40 lacs,Karachi,1990,"100,000 km",Diesel,3500 cc,Manual
Suzuki Cultus  2007 VXR (CNG) for Sale,PKR 9.9 lacs,Karachi,2007,"80,000 km",Petrol,1000 cc,Manual
Suzuki Wagon R  2015 VXL for Sale,PKR 19.5 lacs,Karachi,2015,"83,400 km",Petrol,1000 cc,Manual
Honda Civic  2000 VTi Oriel Automatic 1.6 for Sale,PKR 13.45 lacs,Karachi,2000,"180,000 km",Petrol,1600 cc,Automatic
Toyota Vitz  2015  for Sale,PKR 28.85 lacs,Karachi,2015,"88,000 km",Petrol,1000 cc,Automatic
Hyundai Santro  2003 Club for Sale,PKR 10.5 lacs,Karachi,2003,"130,000 km",Petrol,1000 cc,Manual
Toyota Passo  2015 Plus Hana C for Sale,PKR 27.9 lacs,Karachi,2015,"73,000 km",Petrol,1000 cc,Automatic
Honda Civic 7th Generation (Facelift) 2005 EXi Prosmatec for Sale,PKR 17.2 lacs,Karachi,2005,"101,800 km",Petrol,1500 cc,Automatic
Suzuki Wagon R  2020 VXL for Sale,PKR 26.25 lacs,Karachi,2020,"47,000 km",Petrol,1000 cc,Manual
